"outcome","term","estimate","std.error","rep","seed"
"death","cancer.typeBladder",0.160630137514358,0.0356444238177816,10,1010
"death","cancer.typeKidney",0.0705279441684268,0.0372578802541714,10,1010
"death","cancer.typeMelanoma",-0.279777038956099,0.0403199415033041,10,1010
"death","practice.typeCommunity",-0.0220381622264807,0.0215246625550538,10,1010
"death","initial.stageIV",0.497945516107831,0.0236090780693157,10,1010
"death","on.ici",-0.139945649615339,0.0274162450937398,10,1010
"irae","(Intercept)",-5.95252067010006,0.143652717888938,10,1010
"irae","ns(month, df = 3)1",-0.265916868940391,0.0790069351880791,10,1010
"irae","ns(month, df = 3)2",0.0529767007112052,0.119127655659591,10,1010
"irae","ns(month, df = 3)3",0.035050986682421,0.0873810306796011,10,1010
"irae","age",-0.00891427264035355,0.00177139113648305,10,1010
"irae","sexFemale",0.103708691065505,0.0332410995558637,10,1010
"irae","ecog1",0.145399855144231,0.0357609145503305,10,1010
"irae","ecog2",-0.141607096346159,0.0721254629500462,10,1010
"irae","ecog3",0.204503372535151,0.113448993286645,10,1010
"irae","cancer.typeBladder",0.149135929631412,0.0613364535688177,10,1010
"irae","cancer.typeKidney",-0.0421886365473867,0.0659320991071982,10,1010
"irae","cancer.typeMelanoma",0.00882898435620856,0.063124306693737,10,1010
"irae","practice.typeCommunity",0.0797224444905167,0.0369909202859151,10,1010
"irae","tx.combo",0.348751694725463,0.0337043803317951,10,1010
"irae","pd.l1Low",-0.125673308025928,0.0405048166142695,10,1010
"irae","pd.l1High",0.304169655643835,0.0419696808621344,10,1010
"irae","on.ici",0.537097196380525,0.0525134760742649,10,1010
"death","(Intercept)",-8.95755009082791,0.0948864309653771,11,1011
"death","ns(month, df = 3)1",0.360884407338403,0.0474616329541092,11,1011
"death","ns(month, df = 3)2",0.786081131556787,0.0829740539230727,11,1011
"death","ns(month, df = 3)3",0.840465058692498,0.0425539351636604,11,1011
"death","age",0.0493151320434045,0.00108727781220186,11,1011
"death","sexFemale",-0.00359184853629517,0.0196954599436101,11,1011
"death","ecog1",0.531886641047527,0.0230515551599444,11,1011
"death","ecog2",1.00208684441919,0.0305227123186028,11,1011
"death","ecog3",1.34663798462969,0.045140177643375,11,1011
"death","cancer.typeBladder",0.354981052121511,0.0337653297213864,11,1011
"death","cancer.typeKidney",0.327138141654112,0.0343235665892972,11,1011
"death","cancer.typeMelanoma",-0.224526714503758,0.0394731033910152,11,1011
"death","practice.typeCommunity",0.137826001671383,0.0220330511744575,11,1011
"death","initial.stageIV",0.288163038332704,0.0221478330190554,11,1011
"death","on.ici",-0.218912236306765,0.0272384343901132,11,1011
"irae","(Intercept)",-6.34330445667327,0.140700762726215,11,1011
"irae","ns(month, df = 3)1",-0.0357559273716133,0.0776067348389156,11,1011
"irae","ns(month, df = 3)2",-0.407031513560381,0.114596051234604,11,1011
"irae","ns(month, df = 3)3",-0.464470230598825,0.0924199774007606,11,1011
"irae","age",0.00397784960592612,0.00172585964269944,11,1011
"irae","sexFemale",0.284492628248718,0.0321366806556664,11,1011
"irae","ecog1",-0.137073693770745,0.0352506909061573,11,1011
"irae","ecog2",-0.335966087251678,0.0707354675384799,11,1011
"irae","ecog3",-0.156255157999377,0.113891696170999,11,1011
"irae","cancer.typeBladder",-0.0991885398440068,0.0655854201320428,11,1011
"irae","cancer.typeKidney",0.0613923056200823,0.0596999714923411,11,1011
"irae","cancer.typeMelanoma",0.13031011307724,0.0573444236780621,11,1011
"irae","practice.typeCommunity",0.000469427491997837,0.0350351646645339,11,1011
"irae","tx.combo",0.306274322863378,0.0325775277298446,11,1011
"irae","pd.l1Low",-0.140613452630864,0.0385067399705126,11,1011
"irae","pd.l1High",-0.0447015721076036,0.0436131130730381,11,1011
"irae","on.ici",0.465393134511389,0.0503552019199686,11,1011
"death","(Intercept)",-9.12043020019826,0.0939224553341005,12,1012
"death","ns(month, df = 3)1",0.572688423927793,0.0479992905544315,12,1012
"death","ns(month, df = 3)2",0.736586387802722,0.083863765221494,12,1012
"death","ns(month, df = 3)3",0.882076757690676,0.0437767332790571,12,1012
"death","age",0.0514764532251242,0.00107837535633438,12,1012
"death","sexFemale",-0.0318508744062633,0.0201848786283785,12,1012
"death","ecog1",0.520084218208096,0.0237539104144652,12,1012
"death","ecog2",1.07081940840986,0.0302522612838031,12,1012
"death","ecog3",1.50661022390129,0.0439318324046217,12,1012
"death","cancer.typeBladder",0.107847138793316,0.0356147910365452,12,1012
"death","cancer.typeKidney",0.087503727930611,0.0373211504503564,12,1012
"death","cancer.typeMelanoma",-0.276173214446697,0.0409397891465421,12,1012
"death","practice.typeCommunity",-0.0442848596309384,0.0218555960422896,12,1012
"death","initial.stageIV",0.432916310195001,0.0233514106174631,12,1012
"death","on.ici",-0.139253702705203,0.0275330024607414,12,1012
"irae","(Intercept)",-5.59398160828043,0.136253485792862,12,1012
"irae","ns(month, df = 3)1",-0.0540015427218842,0.0768431357958146,12,1012
"irae","ns(month, df = 3)2",-0.848957473446021,0.109796906764588,12,1012
